,instance,id,val,saut,erreur,temps,val opt
0,c05100,0,4377,4377,inf,120.018,0
1,c05200,0,8254,8254,inf,120.052,0
2,c10100,0,4468,4468,inf,120.046,0
3,c10200,0,9180,9180,inf,120.158,0
4,c10400,0,18157,18157,inf,120.676,0
5,c15900,0,42552,42552,inf,125.573,0
6,c20100,0,4696,4696,inf,120.102,0
7,c201600,0,76532,76532,inf,144.642,0
8,c20200,0,9549,9549,inf,120.421,0
9,c20400,0,19055,19055,inf,121.676,0
10,c30900,0,43694,43694,inf,133.454,0
11,c401600,0,78368,78368,inf,181.796,0
12,c40400,0,19559,19559,inf,124.06,0
13,c60900,0,44428,44428,inf,150.356,0
14,c801600,0,79365,79365,inf,250.638,0
15,d05100,0,9147,9147,inf,120.011,0
16,d05200,0,18750,18750,inf,120.028,0
17,d10100,0,10349,10349,inf,120.036,0
18,d10200,0,20562,20562,inf,120.099,0
19,d10400,0,41222,41222,inf,120.393,0
20,d15900,0,95869,95869,inf,123.412,0
21,d20100,0,10839,10839,inf,120.068,0
22,d201600,0,173695,173695,inf,136.087,0
23,d20200,0,21733,21733,inf,120.239,0
24,d20400,0,43332,43332,inf,121.006,0
25,d30900,0,99560,99560,inf,129.853,0
26,d401600,0,179034,179034,inf,164.991,0
27,d40400,0,44926,44926,inf,122.922,0
28,d60900,0,102225,102225,inf,144.438,0
29,d801600,0,183367,183367,inf,221.248,0
