,instance,id,m,t,val,time
0,gapa,0,5,100,1703,10.103651762008667
1,gapa,1,5,200,3235,10.168569803237915
2,gapa,2,10,100,1363,10.09739351272583
3,gapa,3,10,200,2628,10.600110292434692
4,gapa,4,20,100,1163,10.298075914382935
5,gapa,5,20,200,2349,10.680903196334839
6,gapb,0,5,100,1900,10.054476499557495
7,gapb,1,5,200,3596,10.170149803161621
8,gapb,2,10,100,1421,10.078164339065552
9,gapb,3,10,200,2896,10.260348558425903
10,gapb,4,20,100,1193,10.15242600440979
11,gapb,5,20,200,2364,10.54784607887268
12,gapc,0,5,100,1957,10.05997347831726
13,gapc,1,5,200,3516,10.164905071258545
14,gapc,2,10,100,1444,10.083518743515015
15,gapc,3,10,200,2846,10.353750705718994
16,gapc,4,20,100,1270,10.242753267288208
17,gapc,5,20,200,2429,10.44168758392334
