,instance,id,m,t,val,time
0,c05100,0,5,100,1974,0.013852834701538086
1,c05200,0,5,200,3516,0.10371947288513184
2,c10100,0,10,100,1451,0.04787087440490723
3,c10200,0,10,200,2852,0.1216585636138916
4,c10400,0,10,400,5684,0.5592219829559326
5,c15900,0,15,900,11538,4.9978742599487305
6,c20100,0,20,100,1300,0.09772896766662598
7,c201600,0,20,1600,19061,21.99384570121765
8,c20200,0,20,200,2435,0.4418206214904785
9,c20400,0,20,400,4897,1.1980531215667725
10,c30900,0,30,900,10139,10.287328958511353
11,c401600,0,40,1600,17391,45.8903648853302
12,c40400,0,40,400,4315,2.9818127155303955
13,c60900,0,60,900,9462,24.576541423797607
14,c801600,0,80,1600,16517,107.80423641204834
15,d05100,0,5,100,-1,0.003025054931640625
16,d05200,0,5,200,13598,0.01998448371887207
17,d10100,0,10,100,6812,0.022933244705200195
18,d10200,0,10,200,13474,0.07782936096191406
19,d10400,0,10,400,26999,0.29623913764953613
20,d15900,0,15,900,60147,2.1962697505950928
21,d20100,0,20,100,6633,0.09873533248901367
22,d201600,0,20,1600,105963,11.64422345161438
23,d20200,0,20,200,13335,0.20345616340637207
24,d20400,0,20,400,26529,0.8158504962921143
25,d30900,0,30,900,58961,6.690070390701294
26,d401600,0,40,1600,104015,27.38177514076233
27,d40400,0,40,400,26228,2.479475975036621
28,d60900,0,60,900,57638,16.46942114830017
29,d801600,0,80,1600,102643,68.90424585342407
