,instance,id,m,t,val,time
0,gapa,0,5,100,1702,300.19427704811096
1,gapa,1,5,200,3235,300.56367897987366
2,gapa,2,10,100,1362,300.37326860427856
3,gapa,3,10,200,2628,301.1832027435303
4,gapa,4,20,100,1163,300.7810230255127
5,gapa,5,20,200,2349,302.64089846611023
6,gapb,0,5,100,1892,300.0531392097473
7,gapb,1,5,200,3600,300.3459641933441
8,gapb,2,10,100,1424,300.3586812019348
9,gapb,3,10,200,2905,300.7393465042114
10,gapb,4,20,100,1193,300.50972509384155
11,gapb,5,20,200,2364,301.89857840538025
12,gapc,0,5,100,1971,300.0820653438568
13,gapc,1,5,200,3516,300.26733016967773
14,gapc,2,10,100,1439,300.1860225200653
15,gapc,3,10,200,2852,300.9650115966797
16,gapc,4,20,100,1282,300.4522297382355
17,gapc,5,20,200,2435,301.8296513557434
